7-14 21:53:15,166 : __main__ : ERROR : 127.0.0.1 : T0392511G - Patient T0392511G failed to log in: Incorrect password
2021-07-18 16:58:43,838 : __main__ : INFO     : 127.0.0.1       : T1234567E - New account (Username: T1234567E, Role: Patient) has been registered
2021-07-18 16:59:40,100 : __main__ : INFO     : 127.0.0.1       : T1234567F - New account (Username: T1234567F, Role: Patient) has been registered
2021-07-18 17:00:39,046 : __main__ : INFO     : 127.0.0.1       : T1234567G - New account (Username: T1234567G, Role: Patient) has been registered
2021-07-18 17:01:47,147 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 17:02:08,355 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567B
2021-07-18 17:02:22,169 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567B
2021-07-18 17:07:30,421 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567B
2021-07-18 17:08:32,636 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567B
2021-07-18 17:08:42,472 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567B
2021-07-18 17:08:45,137 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 17:09:04,696 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567G
2021-07-18 17:09:32,614 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567G
2021-07-18 17:21:25,119 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 17:21:26,587 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567G
2021-07-18 17:22:14,057 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567G
2021-07-18 17:22:59,729 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567G
2021-07-18 17:23:11,342 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 17:24:29,748 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U used the -add doctor- admin functionality to add T1234568C to a doctor role
2021-07-18 17:26:04,730 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to use the -add doctor- admin functionality to add a doctor
2021-07-18 17:28:44,732 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to use the -admin delete- admin functionality to delete account T1234567C
